Location Id,Depot Id,Band,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
3036,30103,PE,15,15,17,16,17,16,18,18
3040,30103,06:00,17,23,19,17,17,21,11,11
3040,30103,12:00,34,26,30,33,31,30,36,36
3040,30103,18:00,34,36,34,34,35,33,35,35
3040,30103,PE,15,15,17,16,17,16,18,18
3055,30103,06:00,17,23,19,17,17,21,11,11
3055,30103,12:00,34,26,30,33,31,30,36,36
3055,30103,18:00,34,36,34,34,35,33,35,35
3055,30103,PE,15,15,17,16,17,16,18,18
3084,30102,06:00,17,23,19,17,17,21,11,11
3084,30102,12:00,34,26,30,33,31,30,36,36
3084,30102,18:00,34,36,34,34,35,33,35,35
3084,30102,PE,15,15,17,16,17,16,18,18
3095,30053,06:00,17,23,19,17,17,21,11,11
3095,30053,12:00,34,26,30,33,31,30,36,36
3095,30053,18:00,34,36,34,34,35,33,35,35
3095,30053,PE,15,15,17,16,17,16,18,18
3133,30103,06:00,17,23,19,17,17,21,11,11
3133,30103,12:00,34,26,30,33,31,30,36,36
3133,30103,18:00,34,36,34,34,35,33,35,35
3133,30103,PE,15,15,17,16,17,16,18,18
3149,30103,06:00,17,23,19,17,17,21,11,11
3149,30103,12:00,34,26,30,33,31,30,36,36
3149,30103,18:00,34,36,34,34,35,33,35,35
3149,30103,PE,15,15,17,16,17,16,18,18
3178,30103,06:00,17,23,19,17,17,21,11,11
3178,30103,12:00,34,26,30,33,31,30,36,36
3178,30103,18:00,34,36,34,34,35,33,35,35
3178,30103,PE,15,15,17,16,17,16,18,18
3188,30102,06:00,17,23,19,17,17,21,11,11
3188,30102,12:00,34,26,30,33,31,30,36,36
3188,30102,18:00,34,36,34,34,35,33,35,35
3188,30102,PE,15,15,17,16,17,16,18,18
3220,30053,06:00,17,23,19,17,17,21,11,11
3220,30053,12:00,34,26,30,33,31,30,36,36
3220,30053,18:00,34,36,34,34,35,33,35,35
3220,30053,PE,15,15,17,16,17,16,18,18
3230,30053,06:00,17,23,19,17,17,21,11,11
3230,30053,12:00,34,26,30,33,31,30,36,36
3230,30053,18:00,34,36,34,34,35,33,35,35
3230,30053,PE,15,15,17,16,17,16,18,18
3290,30102,06:00,17,23,19,17,17,21,11,11
3290,30102,12:00,34,26,30,33,31,30,36,36
3290,30102,18:00,34,36,34,34,35,33,35,35
3290,30102,PE,15,15,17,16,17,16,18,18
3297,30102,06:00,17,23,19,17,17,21,11,11
3297,30102,12:00,34,26,30,33,31,30,36,36
3297,30102,18:00,34,36,34,34,35,33,35,35
3297,30102,PE,15,15,17,16,17,16,18,18
3324,30053,06:00,17,23,19,17,17,21,11,11
3324,30053,12:00,34,26,30,33,31,30,36,36
3324,30053,18:00,34,36,34,34,35,33,35,35
3324,30053,PE,15,15,17,16,17,16,18,18
3398,30102,06:00,17,23,19,17,17,21,11,11
3398,30102,12:00,34,26,30,33,31,30,36,36
3398,30102,18:00,34,36,34,34,35,33,35,35
3398,30102,PE,15,15,17,16,17,16,18,18
3406,30103,06:00,17,23,19,17,17,21,11,11
3406,30103,12:00,34,26,30,33,31,30,36,36
3406,30103,18:00,34,36,34,34,35,33,35,35
3406,30103,PE,15,15,17,16,17,16,18,18
3470,30053,06:00,17,23,19,17,17,21,11,11
3470,30053,12:00,34,26,30,33,31,30,36,36
3470,30053,18:00,34,36,34,34,35,33,35,35
3470,30053,PE,15,15,17,16,17,16,18,18
3493,30103,06:00,17,23,19,17,17,21,11,11
3493,30103,12:00,34,26,30,33,31,30,36,36
3493,30103,18:00,34,36,34,34,35,33,35,35
3493,30103,PE,15,15,17,16,17,16,18,18
4357,30102,06:00,17,23,19,17,17,21,11,11
4357,30102,12:00,34,26,30,33,31,30,36,36
4357,30102,18:00,34,36,34,34,35,33,35,35
4357,30102,PE,15,15,17,16,17,16,18,18
4579,30103,06:00,17,23,19,17,17,21,11,11
4579,30103,12:00,34,26,30,33,31,30,36,36
4579,30103,18:00,34,36,34,34,35,33,35,35
4579,30103,PE,15,15,17,16,17,16,18,18
4838,30102,06:00,17,23,19,17,17,21,11,11
4838,30102,12:00,34,26,30,33,31,30,36,36
4838,30102,18:00,34,36,34,34,35,33,35,35
4838,30102,PE,15,15,17,16,17,16,18,18
5135,30053,06:00,17,23,19,17,17,21,11,11
5135,30053,12:00,34,26,30,33,31,30,36,36
5135,30053,18:00,34,36,34,34,35,33,35,35
5135,30053,PE,15,15,17,16,17,16,18,18
5168,30102,06:00,17,23,19,17,17,21,11,11
5168,30102,12:00,34,26,30,33,31,30,36,36
5168,30102,18:00,34,36,34,34,35,33,35,35
5168,30102,PE,15,15,17,16,17,16,18,18
5329,30102,06:00,17,23,19,17,17,21,11,11
5329,30102,12:00,34,26,30,33,31,30,36,36
5329,30102,18:00,34,36,34,34,35,33,35,35
5329,30102,PE,15,15,17,16,17,16,18,18
5332,30102,06:00,17,23,19,17,17,21,11,11
5332,30102,12:00,34,26,30,33,31,30,36,36
5332,30102,18:00,34,36,34,34,35,33,35,35
5332,30102,PE,15,15,17,16,17,16,18,18
5362,30102,06:00,17,23,19,17,17,21,11,11
5362,30102,12:00,34,26,30,33,31,30,36,36
5362,30102,18:00,34,36,34,34,35,33,35,35
5362,30102,PE,15,15,17,16,17,16,18,18
5378,30102,06:00,17,23,19,17,17,21,11,11
5378,30102,12:00,34,26,30,33,31,30,36,36
5378,30102,18:00,34,36,34,34,35,33,35,35
5378,30102,PE,15,15,17,16,17,16,18,18
5528,30053,06:00,17,23,19,17,17,21,11,11
5528,30053,12:00,34,26,30,33,31,30,36,36
5528,30053,18:00,34,36,34,34,35,33,35,35
5528,30053,PE,15,15,17,16,17,16,18,18
5567,30103,06:00,17,23,19,17,17,21,11,11
5567,30103,12:00,34,26,30,33,31,30,36,36
5567,30103,18:00,34,36,34,34,35,33,35,35
5567,30103,PE,15,15,17,16,17,16,18,18
5851,30102,06:00,17,23,19,17,17,21,11,11
5851,30102,12:00,34,26,30,33,31,30,36,36
5851,30102,18:00,34,36,34,34,35,33,35,35
5851,30102,PE,15,15,17,16,17,16,18,18
5852,30102,06:00,17,23,19,17,17,21,11,11
5852,30102,12:00,34,26,30,33,31,30,36,36
5852,30102,18:00,34,36,34,34,35,33,35,35
5852,30102,PE,15,15,17,16,17,16,18,18
6002,30103,06:00,17,23,19,17,17,21,11,11
6002,30103,12:00,34,26,30,33,31,30,36,36
6002,30103,18:00,34,36,34,34,35,33,35,35
6002,30103,PE,15,15,17,16,17,16,18,18
6056,30103,06:00,17,23,19,17,17,21,11,11
6056,30103,12:00,34,26,30,33,31,30,36,36
6056,30103,18:00,34,36,34,34,35,33,35,35
6056,30103,PE,15,15,17,16,17,16,18,18
6161,30102,06:00,17,23,19,17,17,21,11,11
6161,30102,12:00,34,26,30,33,31,30,36,36
6161,30102,18:00,34,36,34,34,35,33,35,35
6161,30102,PE,15,15,17,16,17,16,18,18
6197,30102,06:00,17,23,19,17,17,21,11,11
6197,30102,12:00,34,26,30,33,31,30,36,36
6197,30102,18:00,34,36,34,34,35,33,35,35
6197,30102,PE,15,15,17,16,17,16,18,18
6226,30102,06:00,17,23,19,17,17,21,11,11
6226,30102,12:00,34,26,30,33,31,30,36,36
6226,30102,18:00,34,36,34,34,35,33,35,35
6226,30102,PE,15,15,17,16,17,16,18,18
6463,30102,06:00,17,23,19,17,17,21,11,11
6463,30102,12:00,34,26,30,33,31,30,36,36
6463,30102,18:00,34,36,34,34,35,33,35,35
6463,30102,PE,15,15,17,16,17,16,18,18
6473,30102,06:00,17,23,19,17,17,21,11,11
6473,30102,12:00,34,26,30,33,31,30,36,36
6473,30102,18:00,34,36,34,34,35,33,35,35
6473,30102,PE,15,15,17,16,17,16,18,18
2020,30053,06:00,15,18,19,18,20,18,14,14
2020,30053,12:00,30,26,27,31,31,28,31,31
2020,30053,18:00,34,35,33,32,30,31,31,31
2020,30053,PE,21,21,21,19,19,23,24,24
2025,30103,06:00,15,18,19,18,20,18,14,14
2025,30103,12:00,30,26,27,31,31,28,31,31
2025,30103,18:00,34,35,33,32,30,31,31,31
2025,30103,PE,21,21,21,19,19,23,24,24
2041,30053,06:00,15,18,19,18,20,18,14,14
2041,30053,12:00,30,26,27,31,31,28,31,31
2041,30053,18:00,34,35,33,32,30,31,31,31
2041,30053,PE,21,21,21,19,19,23,24,24
2080,30103,06:00,15,18,19,18,20,18,14,14
2080,30103,12:00,30,26,27,31,31,28,31,31
2080,30103,18:00,34,35,33,32,30,31,31,31
2080,30103,PE,21,21,21,19,19,23,24,24
2102,30103,06:00,15,18,19,18,20,18,14,14
2102,30103,12:00,30,26,27,31,31,28,31,31
2102,30103,18:00,34,35,33,32,30,31,31,31
2102,30103,PE,21,21,21,19,19,23,24,24
2115,30053,06:00,15,18,19,18,20,18,14,14
2115,30053,12:00,30,26,27,31,31,28,31,31
2115,30053,18:00,34,35,33,32,30,31,31,31
2115,30053,PE,21,21,21,19,19,23,24,24
2117,30103,06:00,15,18,19,18,20,18,14,14
2117,30103,12:00,30,26,27,31,31,28,31,31
2117,30103,18:00,34,35,33,32,30,31,31,31
2117,30103,PE,21,21,21,19,19,23,24,24
2124,30053,06:00,15,18,19,18,20,18,14,14
2124,30053,12:00,30,26,27,31,31,28,31,31
2124,30053,18:00,34,35,33,32,30,31,31,31
2124,30053,PE,21,21,21,19,19,23,24,24
2132,30053,06:00,15,18,19,18,20,18,14,14
2132,30053,12:00,30,26,27,31,31,28,31,31
2132,30053,18:00,34,35,33,32,30,31,31,31
2132,30053,PE,21,21,21,19,19,23,24,24
2162,30053,06:00,15,18,19,18,20,18,14,14
2162,30053,12:00,30,26,27,31,31,28,31,31
2162,30053,18:00,34,35,33,32,30,31,31,31
2162,30053,PE,21,21,21,19,19,23,24,24
2170,30102,06:00,15,18,19,18,20,18,14,14
2170,30102,12:00,30,26,27,31,31,28,31,31
2170,30102,18:00,34,35,33,32,30,31,31,31
2170,30102,PE,21,21,21,19,19,23,24,24
2193,30103,06:00,15,18,19,18,20,18,14,14
2193,30103,12:00,30,26,27,31,31,28,31,31
2193,30103,18:00,34,35,33,32,30,31,31,31
2193,30103,PE,21,21,21,19,19,23,24,24
2214,30102,06:00,15,18,19,18,20,18,14,14
2214,30102,12:00,30,26,27,31,31,28,31,31
2214,30102,18:00,34,35,33,32,30,31,31,31
2214,30102,PE,21,21,21,19,19,23,24,24
2321,30053,06:00,15,18,19,18,20,18,14,14
2321,30053,12:00,30,26,27,31,31,28,31,31
2321,30053,18:00,34,35,33,32,30,31,31,31
2321,30053,PE,21,21,21,19,19,23,24,24
2322,30103,06:00,15,18,19,18,20,18,14,14
2322,30103,12:00,30,26,27,31,31,28,31,31
2322,30103,18:00,34,35,33,32,30,31,31,31
2322,30103,PE,21,21,21,19,19,23,24,24
2323,30102,06:00,15,18,19,18,20,18,14,14
2323,30102,12:00,30,26,27,31,31,28,31,31
2323,30102,18:00,34,35,33,32,30,31,31,31
2323,30102,PE,21,21,21,19,19,23,24,24
2325,30102,06:00,15,18,19,18,20,18,14,14
2325,30102,12:00,30,26,27,31,31,28,31,31
2325,30102,18:00,34,35,33,32,30,31,31,31
2325,30102,PE,21,21,21,19,19,23,24,24
2372,30102,06:00,15,18,19,18,20,18,14,14
2372,30102,12:00,30,26,27,31,31,28,31,31
2372,30102,18:00,34,35,33,32,30,31,31,31
2372,30102,PE,21,21,21,19,19,23,24,24
2404,30102,06:00,15,18,19,18,20,18,14,14
2404,30102,12:00,30,26,27,31,31,28,31,31
2404,30102,18:00,34,35,33,32,30,31,31,31
2404,30102,PE,21,21,21,19,19,23,24,24
2413,30053,06:00,15,18,19,18,20,18,14,14
2413,30053,12:00,30,26,27,31,31,28,31,31
2413,30053,18:00,34,35,33,32,30,31,31,31
2413,30053,PE,21,21,21,19,19,23,24,24
2423,30103,06:00,15,18,19,18,20,18,14,14
2423,30103,12:00,30,26,27,31,31,28,31,31
2423,30103,18:00,34,35,33,32,30,31,31,31
2423,30103,PE,21,21,21,19,19,23,24,24
2452,30103,06:00,15,18,19,18,20,18,14,14
2452,30103,12:00,30,26,27,31,31,28,31,31
2452,30103,18:00,34,35,33,32,30,31,31,31
2452,30103,PE,21,21,21,19,19,23,24,24
2454,30053,06:00,15,18,19,18,20,18,14,14
2454,30053,12:00,30,26,27,31,31,28,31,31
2454,30053,18:00,34,35,33,32,30,31,31,31
2454,30053,PE,21,21,21,19,19,23,24,24
2530,30103,06:00,15,18,19,18,20,18,14,14
2530,30103,12:00,30,26,27,31,31,28,31,31
2530,30103,18:00,34,35,33,32,30,31,31,31
2530,30103,PE,21,21,21,19,19,23,24,24
2532,30053,06:00,15,18,19,18,20,18,14,14
2532,30053,12:00,30,26,27,31,31,28,31,31
2532,30053,18:00,34,35,33,32,30,31,31,31
2532,30053,PE,21,21,21,19,19,23,24,24
2538,30053,06:00,15,18,19,18,20,18,14,14
2538,30053,12:00,30,26,27,31,31,28,31,31
2538,30053,18:00,34,35,33,32,30,31,31,31
2538,30053,PE,21,21,21,19,19,23,24,24
2564,30053,06:00,15,18,19,18,20,18,14,14
2564,30053,12:00,30,26,27,31,31,28,31,31
2564,30053,18:00,34,35,33,32,30,31,31,31
2564,30053,PE,21,21,21,19,19,23,24,24
2586,30053,06:00,15,18,19,18,20,18,14,14
2586,30053,12:00,30,26,27,31,31,28,31,31
2586,30053,18:00,34,35,33,32,30,31,31,31
2586,30053,PE,21,21,21,19,19,23,24,24
2590,30103,06:00,15,18,19,18,20,18,14,14
2590,30103,12:00,30,26,27,31,31,28,31,31
2590,30103,18:00,34,35,33,32,30,31,31,31
2590,30103,PE,21,21,21,19,19,23,24,24
2624,30102,06:00,15,18,19,18,20,18,14,14
2624,30102,12:00,30,26,27,31,31,28,31,31
2624,30102,18:00,34,35,33,32,30,31,31,31
2624,30102,PE,21,21,21,19,19,23,24,24
2628,30053,06:00,15,18,19,18,20,18,14,14
2628,30053,12:00,30,26,27,31,31,28,31,31
2628,30053,18:00,34,35,33,32,30,31,31,31
2628,30053,PE,21,21,21,19,19,23,24,24
2636,30103,06:00,15,18,19,18,20,18,14,14
2636,30103,12:00,30,26,27,31,31,28,31,31
2636,30103,18:00,34,35,33,32,30,31,31,31
2636,30103,PE,21,21,21,19,19,23,24,24
2640,30053,06:00,15,18,19,18,20,18,14,14
2640,30053,12:00,30,26,27,31,31,28,31,31
2640,30053,18:00,34,35,33,32,30,31,31,31
2640,30053,PE,21,21,21,19,19,23,24,24
2653,30053,06:00,15,18,19,18,20,18,14,14
2653,30053,12:00,30,26,27,31,31,28,31,31
2653,30053,18:00,34,35,33,32,30,31,31,31
2653,30053,PE,21,21,21,19,19,23,24,24
2668,30053,06:00,15,18,19,18,20,18,14,14
2668,30053,12:00,30,26,27,31,31,28,31,31
2668,30053,18:00,34,35,33,32,30,31,31,31
2668,30053,PE,21,21,21,19,19,23,24,24
2670,30103,06:00,15,18,19,18,20,18,14,14
2670,30103,12:00,30,26,27,31,31,28,31,31
2670,30103,18:00,34,35,33,32,30,31,31,31
2670,30103,PE,21,21,21,19,19,23,24,24
2695,30103,06:00,15,18,19,18,20,18,14,14
2695,30103,12:00,30,26,27,31,31,28,31,31
2695,30103,18:00,34,35,33,32,30,31,31,31
2695,30103,PE,21,21,21,19,19,23,24,24
2770,30102,06:00,15,18,19,18,20,18,14,14
2770,30102,12:00,30,26,27,31,31,28,31,31
2770,30102,18:00,34,35,33,32,30,31,31,31
2770,30102,PE,21,21,21,19,19,23,24,24
2772,30102,06:00,15,18,19,18,20,18,14,14
2772,30102,12:00,30,26,27,31,31,28,31,31
2772,30102,18:00,34,35,33,32,30,31,31,31
2772,30102,PE,21,21,21,19,19,23,24,24
2813,30102,06:00,15,18,19,18,20,18,14,14
2813,30102,12:00,30,26,27,31,31,28,31,31
2813,30102,18:00,34,35,33,32,30,31,31,31
2813,30102,PE,21,21,21,19,19,23,24,24
2825,30053,06:00,15,18,19,18,20,18,14,14
2825,30053,12:00,30,26,27,31,31,28,31,31
2825,30053,18:00,34,35,33,32,30,31,31,31
2825,30053,PE,21,21,21,19,19,23,24,24
2833,30103,06:00,15,18,19,18,20,18,14,14
2833,30103,12:00,30,26,27,31,31,28,31,31
2833,30103,18:00,34,35,33,32,30,31,31,31
2833,30103,PE,21,21,21,19,19,23,24,24
2900,30102,06:00,15,18,19,18,20,18,14,14
2900,30102,12:00,30,26,27,31,31,28,31,31
2900,30102,18:00,34,35,33,32,30,31,31,31
2900,30102,PE,21,21,21,19,19,23,24,24
2924,30103,06:00,15,18,19,18,20,18,14,14
2924,30103,12:00,30,26,27,31,31,28,31,31
2924,30103,18:00,34,35,33,32,30,31,31,31
2924,30103,PE,21,21,21,19,19,23,24,24
2964,30102,06:00,15,18,19,18,20,18,14,14
2964,30102,12:00,30,26,27,31,31,28,31,31
2964,30102,18:00,34,35,33,32,30,31,31,31
2964,30102,PE,21,21,21,19,19,23,24,24
2990,30053,06:00,15,18,19,18,20,18,14,14
2990,30053,12:00,30,26,27,31,31,28,31,31
2990,30053,18:00,34,35,33,32,30,31,31,31
2990,30053,PE,21,21,21,19,19,23,24,24
2994,30053,06:00,15,18,19,18,20,18,14,14
2994,30053,12:00,30,26,27,31,31,28,31,31
2994,30053,18:00,34,35,33,32,30,31,31,31
2994,30053,PE,21,21,21,19,19,23,24,24
3015,30103,06:00,15,18,19,18,20,18,14,14
3015,30103,12:00,30,26,27,31,31,28,31,31
3015,30103,18:00,34,35,33,32,30,31,31,31
3015,30103,PE,21,21,21,19,19,23,24,24
3030,30053,06:00,15,18,19,18,20,18,14,14
3030,30053,12:00,30,26,27,31,31,28,31,31
3030,30053,18:00,34,35,33,32,30,31,31,31
3030,30053,PE,21,21,21,19,19,23,24,24
3045,30053,06:00,15,18,19,18,20,18,14,14
3045,30053,12:00,30,26,27,31,31,28,31,31
3045,30053,18:00,34,35,33,32,30,31,31,31
3045,30053,PE,21,21,21,19,19,23,24,24
3047,30103,06:00,15,18,19,18,20,18,14,14
3047,30103,12:00,30,26,27,31,31,28,31,31
3047,30103,18:00,34,35,33,32,30,31,31,31
3047,30103,PE,21,21,21,19,19,23,24,24
3048,30103,06:00,15,18,19,18,20,18,14,14
3048,30103,12:00,30,26,27,31,31,28,31,31
3048,30103,18:00,34,35,33,32,30,31,31,31
3048,30103,PE,21,21,21,19,19,23,24,24
3099,30053,06:00,15,18,19,18,20,18,14,14
3099,30053,12:00,30,26,27,31,31,28,31,31
3099,30053,18:00,34,35,33,32,30,31,31,31
3099,30053,PE,21,21,21,19,19,23,24,24
3115,30102,06:00,15,18,19,18,20,18,14,14
3115,30102,12:00,30,26,27,31,31,28,31,31
3115,30102,18:00,34,35,33,32,30,31,31,31
3115,30102,PE,21,21,21,19,19,23,24,24
3151,30103,06:00,15,18,19,18,20,18,14,14
3151,30103,12:00,30,26,27,31,31,28,31,31
3151,30103,18:00,34,35,33,32,30,31,31,31
3151,30103,PE,21,21,21,19,19,23,24,24
3190,30103,06:00,15,18,19,18,20,18,14,14
3190,30103,12:00,30,26,27,31,31,28,31,31
3190,30103,18:00,34,35,33,32,30,31,31,31
3190,30103,PE,21,21,21,19,19,23,24,24
3195,30053,06:00,15,18,19,18,20,18,14,14
3195,30053,12:00,30,26,27,31,31,28,31,31
3195,30053,18:00,34,35,33,32,30,31,31,31
3195,30053,PE,21,21,21,19,19,23,24,24
3212,30102,06:00,15,18,19,18,20,18,14,14
3212,30102,12:00,30,26,27,31,31,28,31,31
3212,30102,18:00,34,35,33,32,30,31,31,31
3212,30102,PE,21,21,21,19,19,23,24,24
3239,30102,06:00,15,18,19,18,20,18,14,14
3239,30102,12:00,30,26,27,31,31,28,31,31
3239,30102,18:00,34,35,33,32,30,31,31,31
3239,30102,PE,21,21,21,19,19,23,24,24
3284,30053,06:00,15,18,19,18,20,18,14,14
3284,30053,12:00,30,26,27,31,31,28,31,31
3284,30053,18:00,34,35,33,32,30,31,31,31
3284,30053,PE,21,21,21,19,19,23,24,24
3293,30102,06:00,15,18,19,18,20,18,14,14
3293,30102,12:00,30,26,27,31,31,28,31,31
3293,30102,18:00,34,35,33,32,30,31,31,31
3293,30102,PE,21,21,21,19,19,23,24,24
3309,30053,06:00,15,18,19,18,20,18,14,14
3309,30053,12:00,30,26,27,31,31,28,31,31
3309,30053,18:00,34,35,33,32,30,31,31,31
3309,30053,PE,21,21,21,19,19,23,24,24
3327,30102,06:00,15,18,19,18,20,18,14,14
3327,30102,12:00,30,26,27,31,31,28,31,31
3327,30102,18:00,34,35,33,32,30,31,31,31
3327,30102,PE,21,21,21,19,19,23,24,24
3351,30102,06:00,15,18,19,18,20,18,14,14
3351,30102,12:00,30,26,27,31,31,28,31,31
3351,30102,18:00,34,35,33,32,30,31,31,31
3351,30102,PE,21,21,21,19,19,23,24,24
3370,30102,06:00,15,18,19,18,20,18,14,14
3370,30102,12:00,30,26,27,31,31,28,31,31
3370,30102,18:00,34,35,33,32,30,31,31,31
3370,30102,PE,21,21,21,19,19,23,24,24
3384,30103,06:00,15,18,19,18,20,18,14,14
3384,30103,12:00,30,26,27,31,31,28,31,31
3384,30103,18:00,34,35,33,32,30,31,31,31
3384,30103,PE,21,21,21,19,19,23,24,24
3404,30053,06:00,15,18,19,18,20,18,14,14
3404,30053,12:00,30,26,27,31,31,28,31,31
3404,30053,18:00,34,35,33,32,30,31,31,31
3404,30053,PE,21,21,21,19,19,23,24,24
3411,30053,06:00,15,18,19,18,20,18,14,14
3411,30053,12:00,30,26,27,31,31,28,31,31
3411,30053,18:00,34,35,33,32,30,31,31,31
3411,30053,PE,21,21,21,19,19,23,24,24
3425,30103,06:00,15,18,19,18,20,18,14,14
3425,30103,12:00,30,26,27,31,31,28,31,31
3425,30103,18:00,34,35,33,32,30,31,31,31
3425,30103,PE,21,21,21,19,19,23,24,24
3430,30102,06:00,15,18,19,18,20,18,14,14
3430,30102,12:00,30,26,27,31,31,28,31,31
3430,30102,18:00,34,35,33,32,30,31,31,31
3430,30102,PE,21,21,21,19,19,23,24,24
3440,30102,06:00,15,18,19,18,20,18,14,14
3440,30102,12:00,30,26,27,31,31,28,31,31
3440,30102,18:00,34,35,33,32,30,31,31,31
3440,30102,PE,21,21,21,19,19,23,24,24
4338,30053,06:00,15,18,19,18,20,18,14,14
4338,30053,12:00,30,26,27,31,31,28,31,31
4338,30053,18:00,34,35,33,32,30,31,31,31
